Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Cinéma - Tanguy Viel.epub;Viel, Tanguy;Cinéma;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Cinéma;Viel, Tanguy
Tropique de la violence - Nathacha Appanah.epub;Appanah, Nathacha;Tropique de la violence;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Tropique de la violence;Appanah, Nathacha
Ce qui est arrivé aux Kempinski - Agnès Desarthe.epub;Desarthe, Agnès;Ce qui est arrivé aux Kempinski;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Ce qui est arrivé aux Kempinski;Desarthe, Agnès
James Redfield Coffret 3 volumes _ La prophétie des Andes. - James Redfield.epub;Redfield, James;James Redfield Coffret 3 volumes _ La prophétie des Andes.;310;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Chiffres dans AUTEUR | Nom d'auteur connu 'Redfield' dans TITRE;James Redfield Coffret 3 volumes _ La prophétie des Andes.;Redfield, James
Japonais, Les - Karyn Poupée.epub;Poupée, Karyn;Japonais, Les;130;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR;Japonais, Les;Poupée, Karyn
Moine et le vénérable, Le - Christian Jacq.epub;Jacq, Christian;Moine et le vénérable, Le;130;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR;Moine et le vénérable, Le;Jacq, Christian
Jeux de miroirs - E. O. Chirovici.epub;Chirovici, E. O.;Jeux de miroirs;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Jeux de miroirs;Chirovici, E. O.
Cornac, Le - Maurice Denuzière.epub;Denuzière, Maurice;Cornac, Le;130;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR;Cornac, Le;Denuzière, Maurice
Marcel Proust _ Oeuvres complètes - Marcel Proust.epub;Proust, Marcel;Marcel Proust _ Oeuvres complètes;310;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Mots-clés de titre dans AUTEUR | Nom d'auteur connu 'Proust' dans TITRE;Marcel Proust _ Oeuvres complètes;Proust, Marcel
Future Sex - Emily Witt.epub;Witt, Emily;Future Sex;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Future Sex;Witt, Emily
Lune de miel en enfer - Fredric Brown.epub;Brown, Fredric;Lune de miel en enfer;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Brown' dans TITRE;Lune de miel en enfer;Brown, Fredric
Simmons,Dan [Les cantos d'Hypérion-02] Hypérion - Tome 2 (1989) french.Alex.epub;Simmons,Dan;Hypérion - Tome 2;110;CERTAIN;Auteur n'est pas au format standard | Chiffres dans AUTEUR | Mots-clés de titre dans AUTEUR;Hypérion - Tome 2;Simmons,Dan
