Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Hamilton,Laurell Kaye [Merry Gentry-05] Sous le souffle de mistral (2006) french.Alex.epub;Hamilton,Laurell Kaye;Sous le souffle de mistral;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Hamilton' dans TITRE;Sous le souffle de mistral;Hamilton,Laurell Kaye
Moorcock,Michael [Le cycle d'Elric-01] Elric des dragons - 3 livres (1972) french.Alex.epub;Moorcock,Michael;Elric des dragons - 3 livres;70;PROBABLE;Auteur n'est pas au format standard | Chiffres dans AUTEUR;Elric des dragons - 3 livres;Moorcock,Michael
Grisham,John [-23] Chroniques de Ford County (2009) french.zzz.epub;Grisham,John;Chroniques de Ford County;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Grisham' dans TITRE;Chroniques de Ford County;Grisham,John
Vian,Boris {alias Vernon Sullivan} [] Elles ne se rendent pas compte (1950) french.zzz.epub;Vian,Boris;Elles ne se rendent pas compte;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Vian' dans TITRE;Elles ne se rendent pas compte;Vian,Boris
Poe,Edgar Allan [C-16] Silence (1837) french.feed.epub;Poe,Edgar Allan;Silence;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Poe' dans TITRE;Silence;Poe,Edgar Allan
Smith,Wilbur A. [La famille Ballantyne-02] A la conquête du royaume (1981) french.zzz.epub;Smith,Wilbur A.;A la conquête du royaume;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Smith' dans TITRE;A la conquête du royaume;Smith,Wilbur A.
Auster,Paul [] Trilogie New-Yorkaise (1991) french.Alex.epub;Auster,Paul;Trilogie New-Yorkaise;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Auster' dans TITRE;Trilogie New-Yorkaise;Auster,Paul
Blondin,Antoine [-09] Sur le Tour de France (1977) french.zzz.epub;Blondin,Antoine;Sur le Tour de France;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Blondin' dans TITRE;Sur le Tour de France;Blondin,Antoine
Brussolo,Serge [-060] Captain Suicide (1992) french.Alex.epub;Brussolo,Serge;Captain Suicide;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Brussolo' dans TITRE;Captain Suicide;Brussolo,Serge
Simak,Clifford D. [Les mines du temps-2] Dans le torrent des siècles(1951) french.Alex.epub;Simak,Clifford D.;Dans le torrent des siècles;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Simak' dans TITRE;Dans le torrent des siècles;Simak,Clifford D.
Gemmell,David A. [Hawk Queen-1] Reine des batailles (1995) Fantasy .Z.epub;Gemmell,David A.;Reine des batailles;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Gemmell' dans TITRE;Reine des batailles;Gemmell,David A.
Leroux,Gaston [-28-Joseph Rouletabille-7] Rouletabille chez les bohémiens (1922) french.zzz.epub;Leroux,Gaston;Rouletabille chez les bohémiens;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Leroux' dans TITRE;Rouletabille chez les bohémiens;Leroux,Gaston
Kawabata,Yasunari [] Récits de la paume de la main.epub;Kawabata,Yasunari;Récits de la paume de la main;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Kawabata' dans TITRE;Récits de la paume de la main;Kawabata,Yasunari
Pennac,Daniel [] Chagrin d'école (2007) french.Alex.epub;Pennac,Daniel;Chagrin d'école;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Pennac' dans TITRE;Chagrin d'école;Pennac,Daniel
Gemmell,David A. [Hawk Queen-1] Reine des batailles (1995) french.zzz.epub;Gemmell,David A.;Reine des batailles;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Gemmell' dans TITRE;Reine des batailles;Gemmell,David A.
