Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Y a-t-il un docteur dans la salle_ - Fallet René.epub;Fallet René;Y a-t-il un docteur dans la salle_;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Y a-t-il un docteur dans la salle_;Fallet René
Mon âge Est à Inventer_ Libres Propos - Geneviève St-Germain.epub;St-Germain, Geneviève;Mon âge Est à Inventer_ Libres Propos;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Mon âge Est à Inventer_ Libres Propos;St-Germain, Geneviève
[Buffy contre les vampires-28] Golden,Christopher - La tueuse perdue - Tome 4 (.) Fantasy-actuelle .Z.epub;La tueuse perdue;Tome 4 (.) Fantasy-actuelle .Z;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Tome 4 (.) Fantasy-actuelle .Z;La tueuse perdue
Dumas,Alexandre {père} [-092] Ingenue - Tome 2 (1853) french.zzz.epub;Dumas,Alexandre;Ingenue - Tome 2;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Ingenue - Tome 2;Dumas,Alexandre
Serge,Victor [] Naissance de notre force (.) french.zzz.epub;Serge,Victor;Naissance de notre force (.);65;PROBABLE;R2: Format 'Prénom, Nom' dans titre | R9: Titre court et auteur long;Naissance de notre force (.);Serge,Victor
chef de chantier à l'isthme de Suez - Une campagne en Kabylie, Un - Erckmann-Chatrian.epub;Erckmann-Chatrian;Une campagne en Kabylie, Un;65;PROBABLE;R4: Auteur commence par article | R9: Titre court et auteur long;Une campagne en Kabylie, Un;Erckmann-Chatrian
"Dard,Frédéric [San-Antonio-081] J'ai essayé ; on peut ! (1973) french.zzz.epub";Dard,Frédéric;"J'ai essayé ; on peut !";65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;"J'ai essayé ; on peut !";Dard,Frédéric
Du Frat,Vanessa [] Les enfants de l'O - Partie 1 (.) Science-fiction .Z.epub;Du Frat,Vanessa [] Les enfants de l'O;Partie 1 (.) Science-fiction .Z;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Partie 1 (.) Science-fiction .Z;Du Frat,Vanessa [] Les enfants de l'O
Dumas,Alexandre {père} [-092] Ingenue - Tome 1 (1853) french.zzz.epub;Dumas,Alexandre;Ingenue - Tome 1;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Ingenue - Tome 1;Dumas,Alexandre
Novecento_ pianiste _ un monologue - Alessandro Baricco.epub;Alessandro Baricco;Novecento_ pianiste _ un monologue;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Novecento_ pianiste _ un monologue;Alessandro Baricco
Dard,Frédéric [San-Antonio-160] Mesdames vous aimez 'ça' ! (1994) french.zzz.epub;Dard,Frédéric;Mesdames vous aimez 'ça' !;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Mesdames vous aimez 'ça' !;Dard,Frédéric
Introduction générale au droit_ droit des personnes, méthodologie juridique - Muriel Fabre-Magnan.epub;Fabre-Magnan, Muriel;Introduction générale au droit_ droit des personnes, méthodologie juridique;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Introduction générale au droit_ droit des personnes, méthodologie juridique;Fabre-Magnan, Muriel
Chattam,Maxime [] Les arcanes du chaos - Chattam,Maxime.epub;Chattam,Maxime;Les arcanes du chaos - Chattam,Maxime;65;PROBABLE;R4: Auteur commence par article | R9: Titre court et auteur long;Les arcanes du chaos - Chattam,Maxime;Chattam,Maxime
Camus,Albert [Actuelles 3] Chroniques Algériennes, 1939-1958.epub;Camus,Albert;Chroniques Algériennes, 1939-1958;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Chroniques Algériennes, 1939-1958;Camus,Albert
Simmons,Dan [Les cantos d'Hypérion-02] Hypérion - Tome 2 (1989) french.Alex.epub;Simmons,Dan;Hypérion - Tome 2;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Hypérion - Tome 2;Simmons,Dan
Attali,Jacques [Verbatim-3] Chronique des années 1988-1991 (1995) Histoire de France .Z.epub;Attali,Jacques;Chronique des années 1988-1991;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Chronique des années 1988-1991;Attali,Jacques
Robert Houdin Tome 1 - Biographies.epub;Biographies;Robert Houdin Tome 1;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Robert Houdin Tome 1;Biographies
Attali,Jacques [Verbatim-1] Chronique des années 1981-1986 (1993) Histoire de France .Z.epub;Attali,Jacques;Chronique des années 1981-1986;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Chronique des années 1981-1986;Attali,Jacques
Exbrayat,Charles [Imogène-1] Ne vous fâchez pas, Imogène ! (1959) french.zzz.epub;Exbrayat,Charles;Ne vous fâchez pas, Imogène !;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Ne vous fâchez pas, Imogène !;Exbrayat,Charles
Simmons,Dan [Les voyages d'Endymion-2] Endymion - Tome 2 (1995) french.Alex.epub;Simmons,Dan;Endymion - Tome 2;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Endymion - Tome 2;Simmons,Dan
Simmons,Dan [Les voyages d'Endymion-1] Endymion - Tome 1 (1995) french.Alex.epub;Simmons,Dan;Endymion - Tome 1;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Endymion - Tome 1;Simmons,Dan
Simmons,Dan [Les cantos d'Hypérion-01] Hypérion - Tome 1 (1989) french.Alex.epub;Simmons,Dan;Hypérion - Tome 1;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Hypérion - Tome 1;Simmons,Dan
Michel,Peyramaure [Jeanne d'Arc-1] Et Dieu donnera la victoire.epub;Michel,Peyramaure;Et Dieu donnera la victoire;65;PROBABLE;R2: Format 'Prénom, Nom' dans titre | R9: Titre court et auteur long;Et Dieu donnera la victoire;Michel,Peyramaure
Jeanne d'Arc_ vérités et légendes - Colette Beaune.epub;Colette Beaune;Jeanne d'Arc_ vérités et légendes;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Jeanne d'Arc_ vérités et légendes;Colette Beaune
Dumas,Alexandre {père} [-044] Ascanio - Tome 1 (1843) french.zzz.epub;Dumas,Alexandre;Ascanio - Tome 1;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Ascanio - Tome 1;Dumas,Alexandre
Presque rien sur presque tout - d'Ormesson Jean.epub;Jean, d'Ormesson;Presque rien sur presque tout;65;PROBABLE;R2: Format 'Prénom, Nom' dans titre | R9: Titre court et auteur long;Presque rien sur presque tout;Jean, d'Ormesson
